#MLRT	#	0.8712	#MLRT
.	,	0.9927	.
Lagi	^	0.4850	Lagi
akong	!	0.5613	akong
#ONEDIRECTION4EVS	#	0.9395	#ONEDIRECTION4EVS
eh	!	0.9634	eh
.	,	0.9927	.
That's	L	0.9912	That's
odd	A	0.7688	odd
			
Nauso	!	0.5603	Nauso
po	!	0.3639	po
ang	!	0.6480	ang
quote	N	0.7140	quote
tweet	V	0.5818	tweet
.	,	0.9927	.
Learn	V	0.7946	Learn
to	P	0.9511	to
use	V	0.4071	use
it	O	0.9694	it
.	,	0.9927	.
			
AAP	^	0.5222	AAP
myth	N	0.9880	myth
will	V	0.9478	will
be	V	0.9569	be
broken	V	0.8376	broken
in	P	0.8576	in
next	A	0.4810	next
Assembly	N	0.9329	Assembly
polls	N	0.9544	polls
:	,	0.7421	:
Udit	!	0.4457	Udit
Raj	^	0.9608	Raj
-	,	0.8444	-
Zee	^	0.5951	Zee
News	N	0.7840	News
http://t.co/6rNEcSqtzC	U	0.9940	http://t.co/6rNEcSqtzC
			
RT	~	0.7475	RT
@amandaovoxo	@	0.9989	@amandaovoxo
:	,	0.7421	:
im	L	0.9789	im
good	A	0.9644	good
with	P	0.9671	with
my	D	0.8420	my
tongue	N	0.9601	tongue
bae	N	0.9032	bae
			
Jab-Jab	N	0.7699	Jab-Jab
ADHARM	!	0.3542	ADHARM
KA	^	0.4134	KA
GHADA	^	0.5738	GHADA
BHARTA	!	0.4333	BHARTA
He	O	0.9792	He
,	,	0.9918	,
tb-tb	G	0.5247	tb-tb
Deepak	^	0.8225	Deepak
CHORasia	!	0.6077	CHORasia
&	&	0.9901	&
#BakwasIndiaNewsChannel	#	0.9624	#BakwasIndiaNewsChannel
jaise	^	0.3870	jaise
VIRUS	N	0.9815	VIRUS
paida	^	0.3000	paida
hota	!	0.6794	hota
he	O	0.9777	he
!	,	0.9924	!
Bhagao	!	0.4843	Bhagao
isey	!	0.2422	isey
			
I	O	0.9937	I
should	V	0.9804	should
start	V	0.9113	start
drinkin	V	0.8397	drinkin
henny	N	0.3400	henny
with	P	0.9671	with
my	D	0.8420	my
hood	N	0.9547	hood
niggas	N	0.8807	niggas
			
RT	~	0.7475	RT
@bimalbarot	@	0.9990	@bimalbarot
:	,	0.7421	:
U	O	0.9513	U
TURN	V	0.9111	TURN
BABA	!	0.5596	BABA
KEJRI	^	0.3750	KEJRI
APPILED	^	0.2344	APPILED
FOR	P	0.9900	FOR
BAIL	N	0.7135	BAIL
NOW	R	0.9736	NOW
ACCORDING	V	0.9804	ACCORDING
TO	P	0.9421	TO
HIM	O	0.8926	HIM
HE	O	0.8688	HE
IS	V	0.9860	IS
CRIMINAL	A	0.8358	CRIMINAL
..	,	0.9687	..
HHAHAH	!	0.9993	HHAHAH
HIS	D	0.9026	HIS
OWN	A	0.3350	OWN
WORDS	N	0.8066	WORDS
ARE	V	0.9776	ARE
AGAINST	P	0.9613	AGAINST
HIM	O	0.8926	HIM
...	~	0.6291	...
HAHAH	!	0.9985	HAHAH
			
RT	~	0.7475	RT
@itsberyllicious	@	0.9990	@itsberyllicious
:	,	0.7421	:
Beryllicious	^	0.3452	Beryllicious
:	,	0.7421	:
SM	G	0.6019	SM
Megamall	^	0.7919	Megamall
Mega	A	0.3207	Mega
Food	N	0.8865	Food
Tour	N	0.9190	Tour
with	P	0.9671	with
Anton	^	0.9791	Anton
Diaz	^	0.8064	Diaz
of	P	0.8953	of
Our	D	0.8633	Our
Awesome	A	0.8466	Awesome
Planet	N	0.9680	Planet
#MegaFoodTour	#	0.9525	#MegaFoodTour
http://t.co/1oTS3CpAnQ	U	0.9940	http://t.co/1oTS3CpAnQ
			
dats	L	0.8895	dats
my	D	0.8420	my
nigga	N	0.5857	nigga
mash	N	0.8599	mash
we	O	0.9885	we
about	P	0.8950	about
to	P	0.9511	to
smash	N	0.6589	smash
he	O	0.9777	he
wont	V	0.6310	wont
let	V	0.8916	let
me	O	0.9918	me
pass	N	0.5737	pass
until	P	0.9730	until
he	O	0.9777	he
smashes	V	0.2535	smashes
my	D	0.8420	my
ass	N	0.8849	ass
			
huhuhuhuhuh	!	0.5633	huhuhuhuhuh
keep	V	0.7901	keep
that	O	0.7135	that
postcard	N	0.9589	postcard
set	V	0.5168	set
and	&	0.9981	and
polaroid	^	0.6130	polaroid
set	V	0.5168	set
away	R	0.8585	away
from	P	0.9750	from
my	D	0.8420	my
tlist	N	0.8201	tlist
...........	,	0.9659	...........
			
RT	~	0.7475	RT
@AuraK4s1h	@	0.9987	@AuraK4s1h
:	,	0.7421	:
Desain	N	0.4376	Desain
Rumah	!	0.4779	Rumah
Mewah	^	0.3498	Mewah
-	,	0.8444	-
Deluxe	N	0.5547	Deluxe
Interior	A	0.3371	Interior
Design	N	0.9637	Design
with	P	0.9671	with
A	D	0.7889	A
Rooftop	N	0.8836	Rooftop
Garden	N	0.4751	Garden
http://t.co/NWbT6RtJ0j	U	0.9940	http://t.co/NWbT6RtJ0j
			
ahh	!	0.9966	ahh
i	O	0.9651	i
miss	V	0.6716	miss
you	O	0.9627	you
pa	^	0.4318	pa
,	,	0.9918	,
ma	!	0.3265	ma
,	,	0.9918	,
ate	V	0.9286	ate
and	&	0.9981	and
kuya	^	0.8075	kuya
:(	E	0.9836	:(
			
"	,	0.9803	"
@RawR_Town	@	0.9980	@RawR_Town
:	,	0.7421	:
MISS	V	0.6548	MISS
CUTE	A	0.9395	CUTE
RAWR	!	0.9817	RAWR
2014	$	0.9070	2014
~	G	0.4906	~
@RawR_IUdanbo	@	0.9990	@RawR_IUdanbo
CONGRATULATION	N	0.5013	CONGRATULATION
!!	,	0.9305	!!
#RAWR2NDYEARSARY	#	0.9317	#RAWR2NDYEARSARY
HEY	!	0.9981	HEY
CUTIE	N	0.7952	CUTIE
GIRL	N	0.8555	GIRL
XD	E	0.9287	XD
"	,	0.9803	"
chukkaeee	!	0.9947	chukkaeee
\m/	E	0.8219	\m/
			
Brewers	N	0.6049	Brewers
pitcher	N	0.9681	pitcher
Yovani	!	0.4543	Yovani
Gallardo	^	0.4883	Gallardo
delivers	V	0.9666	delivers
walk-off	!	0.2531	walk-off
double	A	0.6930	double
to	P	0.9511	to
beat	V	0.8551	beat
Orioles	^	0.8776	Orioles
http://t.co/BzvMt5yX6b	U	0.9940	http://t.co/BzvMt5yX6b
			
Ohhh	!	0.9980	Ohhh
hurry	V	0.3679	hurry
up	T	0.8440	up
i	O	0.9651	i
want	V	0.9638	want
some	D	0.7045	some
messer	^	0.8030	messer
shmit	N	0.2919	shmit
down	T	0.3734	down
me	O	0.9918	me
			
RT	~	0.7475	RT
@wizkhalifa	@	0.9990	@wizkhalifa
:	,	0.7421	:
U	O	0.9513	U
better	A	0.6680	better
locc	N	0.6519	locc
it	O	0.9694	it
up	T	0.8440	up
.	,	0.9927	.
			
RT	~	0.7475	RT
@larrydagem	@	0.9990	@larrydagem
:	,	0.7421	:
nao	!	0.7758	nao
superei	!	0.3295	superei
ainda	G	0.3739	ainda
this	O	0.5028	this
is	V	0.9892	is
for	P	0.9910	for
niall	^	0.9486	niall
e	G	0.3771	e
vcs	!	0.2847	vcs
			
@lwebz90	@	0.9989	@lwebz90
hahaha	!	0.9987	hahaha
..	,	0.9687	..
yes	!	0.9958	yes
!	,	0.9924	!
mob	N	0.9483	mob
embryology	!	0.2856	embryology
man	!	0.8651	man
..	,	0.9687	..
fck	!	0.5927	fck
			
RT	~	0.7475	RT
@sujib94	@	0.9989	@sujib94
:	,	0.7421	:
#openfollow	#	0.8397	#openfollow
for	P	0.9910	for
rp	!	0.5479	rp
.	,	0.9927	.
Jfb	^	0.3442	Jfb
yaa	!	0.8455	yaa
			
Pls	V	0.4414	Pls
leave	V	0.8730	leave
me	O	0.9918	me
alone	R	0.5001	alone
when	R	0.9425	when
I'm	L	0.9907	I'm
mad	A	0.9005	mad
,	,	0.9918	,
but	&	0.9901	but
pls	!	0.4742	pls
make	V	0.8257	make
me	O	0.9918	me
happy	A	0.9389	happy
when	R	0.9425	when
I	O	0.9937	I
look	V	0.8183	look
sad	A	0.9768	sad
			
RT	~	0.7475	RT
@WorldStarFunny	@	0.9990	@WorldStarFunny
:	,	0.7421	:
This	D	0.6836	This
lil	A	0.3067	lil
nigga	N	0.5857	nigga
did	V	0.9560	did
10	$	0.9887	10
years	N	0.8823	years
in	P	0.8576	in
timeout	N	0.8983	timeout
http://t.co/bSWqzqEsPG	U	0.9900	http://t.co/bSWqzqEsPG
			
Bae's	L	0.2436	Bae's
lookin	V	0.7789	lookin
right	!	0.8610	right
today	N	0.9895	today
too	R	0.9370	too
lol	!	0.9995	lol
			
Lakala	!	0.4752	Lakala
me	O	0.9918	me
voy	!	0.3251	voy
a	D	0.8948	a
dormir	!	0.3637	dormir
pq	^	0.5544	pq
soy	N	0.3059	soy
nene	^	0.7978	nene
buen	^	0.5391	buen
			
@iwatatesahos	@	0.9990	@iwatatesahos
@qurlsday	@	0.9990	@qurlsday
there's	L	0.7367	there's
a	D	0.8948	a
team	N	0.9785	team
K	^	0.1992	K
perf	N	0.6435	perf
tomorrow	N	0.9398	tomorrow
,	,	0.9918	,
so	R	0.5317	so
that's	L	0.9901	that's
a	D	0.8948	a
start	V	0.9113	start
:D	E	0.9898	:D
and	&	0.9981	and
Team	N	0.9580	Team
4	$	0.5761	4
tonight	R	0.4673	tonight
!	,	0.9924	!
			
@tancredipalmeri	@	0.9990	@tancredipalmeri
gazzetta	^	0.8424	gazzetta
says	V	0.9773	says
T	G	0.3657	T
.	,	0.9927	.
Silva	^	0.8873	Silva
and	&	0.9981	and
Ibra	^	0.8344	Ibra
argued	V	0.9578	argued
and	&	0.9981	and
Silva	^	0.8873	Silva
wants	V	0.9897	wants
to	P	0.9511	to
leave	V	0.8730	leave
PSG	^	0.9281	PSG
.	,	0.9927	.
Is	V	0.9893	Is
that	O	0.7135	that
true	A	0.9009	true
?	,	0.9909	?
Thought	V	0.5209	Thought
they	O	0.9737	they
were	V	0.9019	were
good	A	0.9644	good
friends	N	0.8548	friends
#AskTanc	#	0.9365	#AskTanc
			
Waddup	!	0.9394	Waddup
yal	O	0.5787	yal
...	~	0.6291	...
wake	V	0.6334	wake
up	T	0.8440	up
n	&	0.7343	n
live	V	0.4463	live
...	~	0.6291	...
			
RT	~	0.7475	RT
@posicactus	@	0.9990	@posicactus
:	,	0.7421	:
i	O	0.9651	i
hope	V	0.6059	hope
u	O	0.9843	u
have	V	0.9703	have
one	$	0.7703	one
of	P	0.8953	of
those	O	0.4868	those
days	N	0.9144	days
where	R	0.9493	where
u	O	0.9843	u
catch	V	0.7573	catch
urself	O	0.5658	urself
smiling	V	0.9941	smiling
for	P	0.9910	for
no	!	0.9253	no
reason	N	0.8972	reason
			
@GyozaStand	@	0.9990	@GyozaStand
I	O	0.9937	I
LUFF	N	0.3877	LUFF
U	O	0.9513	U
GYO	!	0.6621	GYO
MARRI	^	0.3884	MARRI
MI	!	0.2873	MI
			
RT	~	0.7475	RT
@HoldMyWholeDick	@	0.9990	@HoldMyWholeDick
:	,	0.7421	:
broke	A	0.6875	broke
niggas	N	0.8807	niggas
always	R	0.9795	always
tryna	V	0.8235	tryna
get	V	0.9655	get
high	!	0.5588	high
			
RT	~	0.7475	RT
@comingsoonnet	@	0.9990	@comingsoonnet
:	,	0.7421	:
Roland	^	0.9924	Roland
Emmerich	^	0.8837	Emmerich
to	P	0.9511	to
Direct	N	0.5566	Direct
Stargate	^	0.9075	Stargate
Reboot	N	0.5749	Reboot
!	,	0.9924	!
http://t.co/BYMGwM5mtS	U	0.9940	http://t.co/BYMGwM5mtS
			
RT	~	0.7475	RT
@TehReelHov	@	0.9990	@TehReelHov
:	,	0.7421	:
rt	~	0.4510	rt
if	P	0.9711	if
ur	L	0.5261	ur
still	R	0.9849	still
up	T	0.8440	up
becuz	P	0.7974	becuz
ur	L	0.5261	ur
an	D	0.7642	an
hood	N	0.9547	hood
ass	N	0.8849	ass
niga	!	0.6937	niga
			
@ZackeryOdom5	@	0.9989	@ZackeryOdom5
idk	L	0.6434	idk
about	P	0.8950	about
that	O	0.7135	that
bron	^	0.8251	bron
bron	^	0.8251	bron
usually	R	0.9864	usually
gets	V	0.9882	gets
the	D	0.9792	the
calls	V	0.7427	calls
...	~	0.6291	...
They've	L	0.7124	They've
been	V	0.9227	been
pretty	R	0.7847	pretty
awful	A	0.8620	awful
both	!	0.5961	both
ways	N	0.9614	ways
all	D	0.7257	all
series	N	0.9409	series
			
@KenAm15	@	0.9989	@KenAm15
@SportsCenter	@	0.9990	@SportsCenter
We	O	0.9920	We
got	V	0.7838	got
Romo	^	0.6054	Romo
And	&	0.9973	And
Dez	!	0.3893	Dez
that's	L	0.9901	that's
all	D	0.7257	all
we	O	0.9885	we
need	V	0.8664	need
!	,	0.9924	!
			
No	!	0.8845	No
Kids	N	0.8015	Kids
,	,	0.9918	,
No	!	0.8845	No
Cussin	V	0.8951	Cussin
'	,	0.9122	'
Mama	N	0.7372	Mama
,	,	0.9918	,
Juss	R	0.6881	Juss
A	D	0.7889	A
Silent	A	0.7163	Silent
House	N	0.7545	House
>>>>	G	0.3815	>>>>
			
RT	~	0.7475	RT
@twt_feelings	@	0.9990	@twt_feelings
:	,	0.7421	:
kau	!	0.4019	kau
cakap	!	0.6051	cakap
kau	!	0.4019	kau
busy	A	0.8817	busy
padahal	G	0.3502	padahal
whatsapp	!	0.5712	whatsapp
still	R	0.9849	still
online	A	0.7930	online
?	,	0.9909	?
			
RT	~	0.7475	RT
@Celliniiii	@	0.9980	@Celliniiii
:	,	0.7421	:
Pre	^	0.3617	Pre
calc	^	0.4291	calc
final	A	0.9216	final
is	V	0.9892	is
about	P	0.8950	about
to	P	0.9511	to
be	V	0.9569	be
a	D	0.8948	a
rough	A	0.8640	rough
one	$	0.7703	one
today	N	0.9895	today
#NHL15Bergeron	#	0.9708	#NHL15Bergeron
			
Ramos	^	0.9246	Ramos
is	V	0.9892	is
a	D	0.8948	a
better	A	0.6680	better
striker	N	0.7503	striker
than	P	0.9031	than
Giroud	^	0.8592	Giroud
???	,	0.9753	???
*	,	0.9379	*
crien	!	0.3463	crien
			
@ahmad_alrefai	@	0.9990	@ahmad_alrefai
Salam	^	0.7672	Salam
.	,	0.9927	.
Dont	V	0.9301	Dont
you	O	0.9627	you
think	V	0.9624	think
it	O	0.9694	it
has	V	0.9464	has
been	V	0.9227	been
a	D	0.8948	a
very	R	0.9132	very
long	A	0.8325	long
time	N	0.9685	time
since	P	0.8454	since
we	O	0.9885	we
communicated	V	0.9877	communicated
?	,	0.9909	?
I've	L	0.9742	I've
even	R	0.9851	even
sent	V	0.9331	sent
u	O	0.9843	u
my	D	0.8420	my
mobile	A	0.7101	mobile
no	!	0.9253	no
n	&	0.7343	n
bah	!	0.9855	bah
?	,	0.9909	?
Hope	V	0.5281	Hope
u	O	0.9843	u
r	V	0.4589	r
all	D	0.7257	all
fine	A	0.9079	fine
			
im	L	0.9789	im
telling	V	0.9826	telling
yall	O	0.6750	yall
.	,	0.9927	.
never	R	0.9752	never
trust	N	0.6152	trust
these	D	0.6152	these
hoes	N	0.9671	hoes
you	O	0.9627	you
dont	V	0.9006	dont
know	V	0.9285	know
what	O	0.9490	what
they	O	0.9737	they
truly	R	0.9199	truly
want	V	0.9638	want
from	P	0.9750	from
you	O	0.9627	you
			
RT	~	0.7475	RT
@kainat_kain	@	0.9990	@kainat_kain
:	,	0.7421	:
@Rabia_GJHolic	@	0.9990	@Rabia_GJHolic
ahan	!	0.9923	ahan
oki	!	0.9856	oki
leave	V	0.8730	leave
will	V	0.9478	will
chat	N	0.4634	chat
later	R	0.7646	later
....	,	0.9646	....
I	O	0.9937	I
mean	V	0.6798	mean
late	A	0.8833	late
night	N	0.6493	night
2	$	0.5875	2
bje	!	0.4363	bje
tak	N	0.2548	tak
...	~	0.6291	...
lol	!	0.9995	lol
...	~	0.6291	...
^_*	E	0.9044	^_*
			
Me	O	0.9899	Me
and	&	0.9981	and
my	D	0.8420	my
mom	N	0.7188	mom
@	P	0.5208	@
Von	!	0.2823	Von
Trapp	N	0.6260	Trapp
Family	N	0.8760	Family
Lodge	^	0.7735	Lodge
http://t.co/We5eLCr7W7	U	0.9940	http://t.co/We5eLCr7W7
			
RT	~	0.7475	RT
@natnatnatchiu	@	0.9990	@natnatnatchiu
:	,	0.7421	:
New	A	0.9490	New
method	N	0.9585	method
of	P	0.8953	of
ponning	V	0.2891	ponning
school	N	0.9809	school
hAHHAHAHA	!	0.9981	hAHHAHAHA
http://t.co/XRVmH0dMhc	U	0.9940	http://t.co/XRVmH0dMhc
			
get	V	0.9655	get
ready	A	0.9553	ready
for	P	0.9910	for
those	O	0.4868	those
comments	N	0.9082	comments
about	P	0.8950	about
zouis	^	0.8979	zouis
from	P	0.9750	from
ur	L	0.5261	ur
family/friends	N	0.7732	family/friends
who	O	0.9764	who
are	V	0.9783	are
trying	V	0.9885	trying
to	P	0.9511	to
let	V	0.8916	let
u	O	0.9843	u
leave	V	0.8730	leave
the	D	0.9792	the
fandom	N	0.5736	fandom
like	P	0.7012	like
nO	!	0.9151	nO
NO	!	0.9562	NO
DONT	V	0.8914	DONT
FALL	V	0.3940	FALL
FOR	P	0.9900	FOR
IT	O	0.9675	IT
OK	!	0.9631	OK
			
I	O	0.9937	I
feel	V	0.9161	feel
like	P	0.7012	like
Im	L	0.9787	Im
being	V	0.9770	being
tested	V	0.9569	tested
.	,	0.9927	.
Iont	V	0.5184	Iont
like	P	0.7012	like
that	O	0.7135	that
shit	N	0.6894	shit
			
RT	~	0.7475	RT
@FunnyPinoyQuote	@	0.9990	@FunnyPinoyQuote
:	,	0.7421	:
Buti	^	0.3016	Buti
pa	^	0.4318	pa
sina	!	0.4768	sina
Phineas	^	0.9926	Phineas
and	&	0.9981	and
Ferb	V	0.4548	Ferb
,	,	0.9918	,
unli	G	0.3898	unli
ang	!	0.6480	ang
summer	N	0.9492	summer
vacation	N	0.9827	vacation
.	,	0.9927	.
			
22yr	N	0.4889	22yr
old	A	0.9547	old
mother	N	0.9356	mother
sells	V	0.9575	sells
her	O	0.5274	her
one-month	A	0.8755	one-month
old	A	0.9547	old
baby	N	0.9007	baby
for	P	0.9910	for
N430k	!	0.3483	N430k
in	P	0.8576	in
Onitsha	!	0.4262	Onitsha
22	$	0.9589	22
year	N	0.8672	year
old	A	0.9547	old
Chinelo	!	0.4492	Chinelo
Huma	!	0.7496	Huma
,	,	0.9918	,
(	,	0.9082	(
pictured	V	0.9572	pictured
above	P	0.9552	above
)	,	0.9412	)
,...	,	0.6789	,...
http://t.co/igIg4W094w	U	0.9940	http://t.co/igIg4W094w
			
Nigga	N	0.6222	Nigga
you	O	0.9627	you
got	V	0.7838	got
Tone	N	0.9150	Tone
hellup	!	0.5932	hellup
be	V	0.9569	be
grateful	A	0.8086	grateful
RT	~	0.7475	RT
@iEatiBeatRepeat	@	0.9990	@iEatiBeatRepeat
:	,	0.7421	:
!	,	0.9924	!
RT	~	0.7475	RT
@Take_EmToChurch	@	0.9990	@Take_EmToChurch
:	,	0.7421	:
I	O	0.9937	I
want	V	0.9638	want
a	D	0.8948	a
cool	A	0.6273	cool
nickname	N	0.9781	nickname
lol	!	0.9995	lol
			
Some	D	0.7192	Some
say	V	0.8550	say
I'm	L	0.9907	I'm
trifling	A	0.8851	trifling
sometimes	R	0.9272	sometimes
I	O	0.9937	I
rightfully	R	0.9808	rightfully
am	V	0.8073	am
,	,	0.9918	,
but	&	0.9901	but
idgaf	!	0.5378	idgaf
Imma	L	0.9705	Imma
leave	V	0.8730	leave
u	O	0.9843	u
rite	!	0.8316	rite
where	R	0.9493	where
u	O	0.9843	u
stand	V	0.5048	stand
			
Correction	N	0.8610	Correction
!	,	0.9924	!
The	D	0.9468	The
John	^	0.9962	John
Webster	^	0.9760	Webster
programme	N	0.9579	programme
*	,	0.9379	*
is	V	0.9892	is
*	,	0.9379	*
on	P	0.8343	on
tnt	^	0.9002	tnt
*	,	0.9379	*
as	P	0.7377	as
well	!	0.9664	well
*	,	0.9379	*
(	,	0.9082	(
same	A	0.9270	same
programme	N	0.9579	programme
)	,	0.9412	)
,	,	0.9918	,
#BBC2	#	0.9649	#BBC2
7pm	$	0.7531	7pm
betwn	!	0.3279	betwn
the	D	0.9792	the
golf	N	0.7550	golf
+	&	0.5932	+
Chelsea	^	0.8885	Chelsea
@The_Globe	@	0.9990	@The_Globe
			
@Del_Mcc	@	0.9990	@Del_Mcc
lmfao	!	0.9987	lmfao
it	O	0.9694	it
wasnt	V	0.4753	wasnt
even	R	0.9851	even
yours	O	0.8232	yours
it	O	0.9694	it
was	V	0.9773	was
some	D	0.7045	some
girls	N	0.9710	girls
.	,	0.9927	.
			
RT	~	0.7475	RT
@mikale_pono	@	0.9980	@mikale_pono
:	,	0.7421	:
2many	!	0.4041	2many
of	P	0.8953	of
yall	O	0.6750	yall
chicks	N	0.7578	chicks
thinking	V	0.9893	thinking
yall	O	0.6750	yall
the	D	0.9792	the
shit	N	0.6894	shit
			
so	R	0.5317	so
ima	L	0.9573	ima
keep	V	0.7901	keep
on	P	0.8343	on
drinking	V	0.9015	drinking
cause	P	0.4706	cause
i	O	0.9651	i
luv	N	0.4096	luv
this	O	0.5028	this
shit	N	0.6894	shit
			
"	,	0.9803	"
@henakauser	@	0.9990	@henakauser
:	,	0.7421	:
@hinaarh	@	0.9980	@hinaarh
I	O	0.9937	I
know	V	0.9285	know
right	!	0.8610	right
?	,	0.9909	?
Just	R	0.9985	Just
so	R	0.5317	so
emosh	A	0.4319	emosh
you	O	0.9627	you
see	V	0.8335	see
.	,	0.9927	.
"	,	0.9803	"
So	P	0.5666	So
much	A	0.5576	much
pyaar	G	0.2765	pyaar
			
everytime	R	0.5115	everytime
i	O	0.9651	i
see	V	0.8335	see
yowapedal	!	0.5598	yowapedal
i	O	0.9651	i
read	V	0.8720	read
it	O	0.9694	it
as	P	0.7377	as
yaoipedal	!	0.5825	yaoipedal
in	P	0.8576	in
my	D	0.8420	my
head	N	0.9348	head
and	&	0.9981	and
im	L	0.9789	im
not	R	0.9628	not
sure	A	0.8345	sure
why	R	0.8527	why
??	,	0.9829	??
			
@cgriffit	@	0.9989	@cgriffit
@SOAAddicts	@	0.9986	@SOAAddicts
@SOAAddictsPT	@	0.9990	@SOAAddictsPT
@Chrisreed619	@	0.9989	@Chrisreed619
@sutterink	@	0.9990	@sutterink
huumm	!	0.7803	huumm
that	O	0.7135	that
wud	V	0.3158	wud
be	V	0.9569	be
short	A	0.9586	short
lived	V	0.9113	lived
:((	E	0.9818	:((
			
U	O	0.9513	U
kudve	!	0.2739	kudve
been	V	0.9227	been
mi	!	0.3412	mi
EARTH	N	0.5172	EARTH
but	&	0.9901	but
u	O	0.9843	u
chose	V	0.8661	chose
to	P	0.9511	to
be	V	0.9569	be
hiz	!	0.5749	hiz
MOON	N	0.9792	MOON
..	,	0.9687	..
			
@Wifealiciousnes	@	0.9990	@Wifealiciousnes
hehe	!	0.9982	hehe
.	,	0.9927	.
Stay	N	0.3808	Stay
strong	A	0.9370	strong
.	,	0.9927	.
1	$	0.9900	1
k	!	0.3103	k
swim	V	0.4996	swim
sauna	N	0.8343	sauna
post	N	0.7789	post
work	N	0.8618	work
now	R	0.9613	now
beer	N	0.9778	beer
.	,	0.9927	.
Work	N	0.7892	Work
tomorrow	N	0.9398	tomorrow
.	,	0.9927	.
#livinthedream	#	0.7427	#livinthedream
			
They	O	0.9740	They
hatin	V	0.9286	hatin
'	,	0.9122	'
you	O	0.9627	you
keep	V	0.7901	keep
it	O	0.9694	it
movin	V	0.4248	movin
'	,	0.9122	'
			
RT	~	0.7475	RT
@Louebear	@	0.9986	@Louebear
:	,	0.7421	:
"	,	0.9803	"
IM	L	0.9779	IM
SO	R	0.2918	SO
PROUD	A	0.9422	PROUD
OF	P	0.8227	OF
NIALL	^	0.9646	NIALL
"	,	0.9803	"
SAID	V	0.9644	SAID
THE	D	0.9569	THE
GIRL	N	0.8555	GIRL
WHO	O	0.9728	WHO
SAW	V	0.9352	SAW
THIS	D	0.6352	THIS
BUT	&	0.9875	BUT
DIDNT	V	0.8307	DIDNT
RT	~	0.7475	RT
#YOUDIDITNIALL	#	0.9151	#YOUDIDITNIALL
#WMAOneDirection	#	0.9801	#WMAOneDirection
http://t.co/2WW1WFoumV	U	0.9940	http://t.co/2WW1WFoumV
			
@_ohthatsdiamond	@	0.9990	@_ohthatsdiamond
i	O	0.9651	i
was	V	0.9773	was
but	&	0.9901	but
destiny	N	0.9570	destiny
not	R	0.9628	not
going	V	0.9829	going
nomore	!	0.6031	nomore
you	O	0.9627	you
still	R	0.9849	still
goin	V	0.9717	goin
?	,	0.9909	?
			
Sian	^	0.3225	Sian
suddenly	R	0.9845	suddenly
this	O	0.5028	this
morning	N	0.7689	morning
so	R	0.5317	so
nice	A	0.9471	nice
._.	E	0.8508	._.
Idk	L	0.6590	Idk
le	^	0.3111	le
lah	!	0.3912	lah
ytd	!	0.5702	ytd
pms	N	0.8538	pms
isit	!	0.9133	isit
...	~	0.6291	...
			
RT	~	0.7475	RT
@jorgearangure	@	0.9990	@jorgearangure
:	,	0.7421	:
That	O	0.7728	That
Ronaldo	^	0.9772	Ronaldo
PK	^	0.7015	PK
was	V	0.9773	was
such	A	0.5315	such
an	D	0.7642	an
Arod	^	0.8897	Arod
home	N	0.8327	home
run	V	0.9514	run
type	N	0.8137	type
of	P	0.8953	of
goal	N	0.9228	goal
			
goodmorning	!	0.9927	goodmorning
!!!	,	0.9690	!!!
here	R	0.7796	here
at	P	0.9712	at
@chelsealorienne	@	0.9990	@chelsealorienne
'	,	0.9122	'
s	G	0.7922	s
house	N	0.8087	house
..	,	0.9687	..
:)))	E	0.9942	:)))
			
@SrivaniRaja	@	0.9990	@SrivaniRaja
going	V	0.9829	going
out	T	0.6015	out
for	P	0.9910	for
one	$	0.7703	one
of	P	0.8953	of
my	D	0.8420	my
friends	N	0.8548	friends
'	,	0.9122	'
bday	N	0.6500	bday
!	,	0.9924	!
:)	E	0.9959	:)
back	R	0.5723	back
in	P	0.8576	in
Birmz	^	0.4464	Birmz
tomorrow	N	0.9398	tomorrow
to	P	0.9511	to
revise	V	0.9362	revise
though	P	0.7128	though
lol	!	0.9995	lol
#nightoff	#	0.9396	#nightoff
			
On	P	0.7816	On
my	D	0.8420	my
way	N	0.5969	way
to	P	0.9511	to
SPR	G	0.5146	SPR
...	~	0.6291	...
What's	L	0.9860	What's
the	D	0.9792	the
official	A	0.5001	official
hashtag	N	0.5386	hashtag
?	,	0.9909	?
			
@ProEraJay	@	0.9990	@ProEraJay
you'll	L	0.9562	you'll
sea	N	0.5705	sea
?	,	0.9909	?
Lmfao	!	0.9985	Lmfao
oookay	!	0.9809	oookay
bean	N	0.8756	bean
eating	V	0.9823	eating
headass	!	0.6583	headass
.	,	0.9927	.
			
@The__Shaman	@	0.9990	@The__Shaman
lol	!	0.9995	lol
not	R	0.9628	not
yet	R	0.7661	yet
.	,	0.9927	.
Lekan	^	0.4010	Lekan
is	V	0.9892	is
behind	P	0.9369	behind
you	O	0.9627	you
.	,	0.9927	.
			
All	D	0.7254	All
my	D	0.8420	my
niggas	N	0.8807	niggas
really	R	0.9938	really
want	V	0.9638	want
the	D	0.9792	the
money	N	0.9305	money
.	,	0.9927	.
We	O	0.9920	We
don't	V	0.9973	don't
want	V	0.9638	want
nun	N	0.9323	nun
else	R	0.7939	else
,	,	0.9918	,
nigga	N	0.5857	nigga
I	O	0.9937	I
promise	V	0.6826	promise
.	,	0.9927	.
			
@solar_rexus	@	0.9990	@solar_rexus
oh	!	0.9988	oh
hey	!	0.9986	hey
solar	A	0.5393	solar
.	,	0.9927	.
